step,base-mem,mlu-mem,diff_abs,diff_relative,max_error_range,success
316,69898,69856,42,0.0006008755615325188,0.002,1
317,69898,69856,42,0.0006008755615325188,0.002,1
318,69898,69856,42,0.0006008755615325188,0.002,1
319,69898,69856,42,0.0006008755615325188,0.002,1
320,69898,69856,42,0.0006008755615325188,0.002,1
321,69898,69856,42,0.0006008755615325188,0.002,1
322,69898,69856,42,0.0006008755615325188,0.002,1
323,69898,69856,42,0.0006008755615325188,0.002,1
324,69898,69856,42,0.0006008755615325188,0.002,1
325,69898,69856,42,0.0006008755615325188,0.002,1
326,69898,69856,42,0.0006008755615325188,0.002,1
327,69898,69856,42,0.0006008755615325188,0.002,1
328,69898,69856,42,0.0006008755615325188,0.002,1
329,69898,69856,42,0.0006008755615325188,0.002,1
330,69898,69856,42,0.0006008755615325188,0.002,1
331,69898,69856,42,0.0006008755615325188,0.002,1
332,69898,69856,42,0.0006008755615325188,0.002,1
333,69898,69856,42,0.0006008755615325188,0.002,1
334,69898,69856,42,0.0006008755615325188,0.002,1
335,69898,69856,42,0.0006008755615325188,0.002,1
336,69898,69856,42,0.0006008755615325188,0.002,1
337,69898,69856,42,0.0006008755615325188,0.002,1
338,69898,69856,42,0.0006008755615325188,0.002,1
339,69898,69856,42,0.0006008755615325188,0.002,1
340,69898,69856,42,0.0006008755615325188,0.002,1
341,69898,69856,42,0.0006008755615325188,0.002,1
342,69898,69856,42,0.0006008755615325188,0.002,1
343,69898,69856,42,0.0006008755615325188,0.002,1
344,69898,69856,42,0.0006008755615325188,0.002,1
345,69898,69856,42,0.0006008755615325188,0.002,1
346,69898,69856,42,0.0006008755615325188,0.002,1
347,69898,69856,42,0.0006008755615325188,0.002,1
348,69898,69856,42,0.0006008755615325188,0.002,1
349,69898,69856,42,0.0006008755615325188,0.002,1
350,69898,69856,42,0.0006008755615325188,0.002,1
351,69898,69856,42,0.0006008755615325188,0.002,1
352,69898,69856,42,0.0006008755615325188,0.002,1
353,69898,69856,42,0.0006008755615325188,0.002,1
354,69898,69856,42,0.0006008755615325188,0.002,1
355,69898,69856,42,0.0006008755615325188,0.002,1
356,69898,69856,42,0.0006008755615325188,0.002,1
357,69898,69856,42,0.0006008755615325188,0.002,1
358,69898,69856,42,0.0006008755615325188,0.002,1
359,69898,69856,42,0.0006008755615325188,0.002,1
360,69898,69856,42,0.0006008755615325188,0.002,1
361,69898,69856,42,0.0006008755615325188,0.002,1
362,69898,69856,42,0.0006008755615325188,0.002,1
363,69898,69856,42,0.0006008755615325188,0.002,1
364,69898,69856,42,0.0006008755615325188,0.002,1
365,69898,69856,42,0.0006008755615325188,0.002,1
366,69898,69856,42,0.0006008755615325188,0.002,1
367,69898,69856,42,0.0006008755615325188,0.002,1
368,69898,69856,42,0.0006008755615325188,0.002,1
369,69898,69856,42,0.0006008755615325188,0.002,1
370,69898,69856,42,0.0006008755615325188,0.002,1
